STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CATEGORY
Sikkim,3369,3492,NA,8402,8277,8822,9146,9539,9914,9874,14890,15305,15953,17065,18159,26690,29008,30293,31722,35394,60774,66136,158667,160553,168897,180675,195066,207355,232483,240743,248691,239928,256507,PER CAPITA NSDP
Tamil Nadu,2237,2270,2363,8955,9932,10147,10451,11260,11592,12167,19432,20319,19748,19662,20707,30062,34126,39166,41314,43193,47394,53507,93112,97257,102191,107117,115875,123206,133029,141844,144845,143528,154427,PER CAPITA NSDP
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24409,27921,30562,33271,37436,37183,43354,91121,92732,96039,101424,112267,121512,131503,146777,153360,143023,158561,PER CAPITA NSDP
Tripura,1642,1643,1666,5534,5364,5707,6239,6828,7396,7968,14119,14933,16947,17752,18554,24394,25688,27558,29022,31711,34544,36718,47155,50501,54645,63992,61612,69860,75020,82313,83985,80512,86539,PER CAPITA NSDP
Uttar Pradesh,1652,1627,1615,5066,5209,5256,5706,5518,5432,5675,9749,9721,9672,9806,10120,12950,13445,14241,14875,15713,16390,17388,32002,32908,34044,34583,36973,40847,41771,42333,43053,39371,40432,PER CAPITA NSDP
Uttarakhand,NA,NA,NA,6896,7369,7163,7476,7429,7385,7256,13516,14932,15364,16530,17542,24726,27781,30644,35444,38621,44557,48525,100314,106359,112900,118979,127249,138784,148011,150179,148303,138191,146047,PER CAPITA NSDP
West Bengal,2145,2267,2295,6756,7094,7492,7880,8408,8814,9320,15888,16244,17225,17568,18374,22649,23808,25400,27094,27914,29799,31314,51543,53157,53811,54520,57255,60618,64007,68212,71719,72202,NA,PER CAPITA NSDP
Andaman and Nicobar Islands,8573,8094,10215,50869,56071,55729,59629,64223,59815,64791,93857,93685,96450,105530,116645,181264,190699,225075,247869,283388,320792,345963,397843,415648,448839,474163,509208,575196,646445,686699,726574,NA,NA,GSDP
Andhra Pradesh,1316362,1357514,1359390,5786664,6111377,6472871,6880990,6786579,7611624,7960474,12879712,13931198,14518528,14914248,16308519,13476688,14197662,15738632,17802768,18182940,19499396,20827348,37940203,38062901,40711475,44456428,49860626,54021177,59473653,62661420,66978337,67032150,74691274,GSDP
Arunachal Pradesh,25078,28475,29262,89311,88488,101100,96126,99095,102173,106319,161177,172586,199661,191125,212033,348751,358423,377212,422680,459583,502948,522041,1106269,1129924,1233942,1438265,1424046,1489371,1557336,1666978,1914471,1886724,NA,GSDP
Assam,376895,394220,399706,1514317,1557249,1601683,1648650,1665002,1661373,1714226,3483319,3571503,3664165,3923328,4159534,5339771,5521356,5778352,6056720,6403256,6979387,7344442,14317491,14734238,15452540,16521230,19110900,20208084,21991937,23103957,24070724,22846335,NA,GSDP
Bihar,1177111,1129547,1081444,2281198,2530210,2178068,2695960,2592076,2788792,2891397,5017376,5822265,5546660,6202508,5883306,7778116,7646594,8884017,9377406,10741179,11315758,13017089,24714396,25685096,26964984,27948244,29648818,31879745,34402783,38138253,39828340.52,38572820.42,42806456,GSDP
Chandigarh,NA,NA,NA,146785,161347,178634,202838,215912,234934,250385,414115,464751,504821,566377,626431,850404,941333,1079499,1158054,1251908,1320568,1333780,1876816,2028513,2210470,2287013,2493224,2691721,2847968,2986579,3108303,2787025,NA,GSDP
Chhattisgarh,NA,NA,NA,1417075,1435262,1479640,1541517,1589545,1674448,1678541,2724871,2584036,2925046,2923342,3406958,4786229,4940774,5859816,6364377,6898211,7134262,7890295,15807382,16597740,18257945,18581344,19058377,21370478,22013569,23769490,24987503,24545166,NA,GSDP
Delhi,550910,632645,657033,2099179,2350285,2410959,2726841,3149920,3302188,3460505,5522016,5760469,5983154,6435292,6800707,10032452,11040607,12407958,13796086,15579109,16863753,18076539,34379750,36662837,39290838,42835515,47562250,51176524,54201502,56532692,58731605,56466920,62242975,GSDP
Goa,68494,67814,76580,239668,251518,270555,311883,320732,393188,401475,632975,609305,636699,681849,732938,1271331,1367162,1504172,1587538,1746618,1924828,2249908,4236666,3585022,3156846,4011649,4609086,5124924,5265269,5306301,5481154,5336006,NA,GSDP
Gujarat,1247157,1166315,1497386,4919429,5805814,6124566,6996568,7144214,7657106,7735400,10986100,10449400,11327700,12250000,14059800,20337300,23377600,25339300,28127300,30034100,33412700,36758128,61560607,68265021,73428387,81142764,89446534,98134196,108656973,118301975,126527733,124818912,NA,GSDP
Haryana,629877,645867,646949,2213130,2369213,2427630,2709482,2748265,2901069,3123033,5137490,5556525,5990665,6381541,7010716,9579512,10460779,11634434,12617076,13647794,15247447,16377020,29753852,32091191,34750661,37053451,41340479,45670911,48203615,52417088,56603374,53622560,58877121,GSDP
Himachal Pradesh,128537,128991,136237,478268,524393,556846,595528,633514,679197,724143,1411247,1500421,1578609,1658469,1792500,2407658,2610733,2848059,3091673,3321011,3589722,3905441,7271983,7738428,8284669,8906019,9627406,10305499,10940627,11641088,12116771,11481375,12439962,GSDP
Jammu and Kashmir,NA,NA,NA,634268,664224,698160,732740,774166,814374,850913,1565981,1621301,1653081,1737931,1827757,2730462,2888283,3060158,3256098,3466422,3622489,3826996,7825555,8076657,8511550,8237211,9700134,10019868,10662414,11506196,NA,NA,NA,GSDP
Jharkhand,NA,NA,NA,1619442,1687855,1732862,1661547,2098434,2218239,2157282,3432308,3094114,3304292,3388236,3660404,5975772,5784841,5922572,7137711,7012946,7724004,8949114,15091759,16325027,16581626,18653439,17488115,19317392,21058730,22927447,23175539,21896211,23681637,GSDP
Karnataka,1025982,1149444,1181049,4107905,4338693,4616681,5030220,5377782,6061964,6385110,10124745,10268651,10555966,11035977,11417352,16674713,18427703,20266010,22820215,24442138,24759029,27272131,60600981,64967344,71131282,74842911,83132991,94177405,101970817,108261444,114982904,114387339,125223259,GSDP
Kerala,610543,625092,667407,2632602,2850109,2978801,3089003,3178252,3402693,3659371,6916847,7160885,7530899,8080908,8585833,11926400,13129393,14166669,15409268,16265920,17757135,18985071,36404789,38769346,40278133,41995555,45121002,48530154,51618976,55422831,56652270,51439999,55092006,GSDP
Madhya Pradesh,1277707,1207223,1294069,3797098,3906977,4146354,4416999,4638033,4942412,5461425,8013210,7458157,7989110,7676549,8553048,11292689,11891946,12989612,13598571,15294616,16756406,17814354,31556159,35168262,36513394,38394448,41873574,47066916,49710165,54323489,57555384,56451437,62165324,GSDP
Maharashtra,2989927,2998609,3428156,11331964,11621327,12956683,13614896,14372322,14854833,16302287,24783022,24261462,25243758,26962096,29119671,41547968,47092933,53465395,59483158,61019135,66694446,74204180,128036944,135794185,145161464,154316487,165428361,180704575,188870619,197295970,204398250,188930666,NA,GSDP
Manipur,35603,38524,40401,130809,127715,132850,144759,157537,160867,180176,326016,305323,326087,324559,359822,513336,545906,556775,589952,628659,671986,668061,1291460,1299281,1411509,1524490,1642368,1708192,1875074,1826222,2012556,2076748,NA,GSDP
Meghalaya,35575,37536,35794,151087,156632,173061,179450,190542,209251,225618,357814,377337,403315,418552,446966,655933,707785,762564,796999,900104,959122,1041308,1991774,2035357,2072571,2014033,2063842,2173023,2256433,2371885,2492339,2375066,2569682,GSDP
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155006,162718,173328,191263,197429,268197,286942,300587,333621,378137,424896,497932,725869,777797,903842,1126104,1232359,1359521,1475778,1610037,1527165,1441739,NA,GSDP
Nagaland,25695,26805,NA,137463,148016,148238,168735,181922,174574,176016,280227,326704,364060,398464,418522,583884,643571,693785,744537,791687,846258,925399,1217674,1286790,1379259,1439877,1466049,1564992,1643983,1686771,1847679,1799161,NA,GSDP
Odisha,488352,545680,540575,1853666,1952807,2053867,1956588,2213603,2267777,2385102,4298608,4227269,4493161,4464098,5140346,7772943,8214472,9270083,10284562,11081178,11585113,12513105,23098708,24336348,26589153,27066534,29222893,33734806,36111668,38673286,39799217,38147033,42033322,GSDP
Puducherry,28285,26874,24208,98127,99660,107722,139865,179913,202334,208216,323483,367175,393508,430872,453002,575371,718822,745341,809328,875074,1017573,1080640,1681801,1731043,1917025,1820665,1906024,2047436,2231767,2598366,2647408,2574006,2659085,GSDP
Punjab,837785,879524,921034,3024814,3113896,3243333,3481868,3586470,3786977,4000299,6716197,6980314,7114617,7317351,7761782,9683851,10255608,11299739,12322323,13043076,13863647,14767012,26662827,28082285,29944973,31212533,33005193,35272056,37540561,39701889,41329463,39978038,42754268,GSDP
Rajasthan,946676,889452,1011707,3296970,3864817,4022472,4475488,4982145,5182509,5292020,8271971,8105959,8986879,8097363,10418891,12774565,13628496,15218867,16001662,17455575,18624454,21307929,43483664,45456434,48623018,52150893,56333953,59674551,62802002,64292850,67956352,66011779,73301688,GSDP
Sikkim,14724,15661,NA,40270,40949,44672,47586,51048,54641,56489,89581,96388,104029,111629,120383,173915,190945,202385,217823,253499,440101,478428,1116510,1142121,1211405,1307097,1436950,1539727,1767336,1862497,1949204,1903992,2067171,GSDP
Tamil Nadu,1396044,1437266,1514020,5754902,6478448,6702144,7033579,7610487,7970342,8457452,13418520,14206482,13984200,14229507,15081498,21900322,24956705,28752968,30515680,32179336,35663186,40341573,75148576,79182431,85197558,89391507,96756246,103676212,112579344,120466736,124383550,124559515,134510826,GSDP
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8994627,10423333,11634322,12861773,14590178,14757687,17418546,35943411,37011312,38995678,41633207,46454244,50794610,55740976,60840139,64124429,60992733,67630412,GSDP
Tripura,49564,51095,53118,177723,176976,191851,212319,234144,257259,275564,486673,515261,587840,625491,662265,890353,942179,1020245,1098843,1202492,1330590,1438667,1920841,2087297,2281911,2696521,2678690,3053759,3309278,3675396,3806335,3724423,4048048,GSDP
Uttar Pradesh,2539359,2572067,2615565,8045109,8510648,8824372,9771900,9763371,10032117,10583309,17515935,17899672,18288490,18968227,19968195,26084066,27781788,30022535,32221349,34472559,36741677,39630943,72405044,75820496,80206969,83443238,90824133,101150027,105639893,109735324,114027509,107739186,112308957,GSDP
Uttarakhand,NA,NA,NA,568558,618736,617422,657129,668875,679985,685615,1262090,1414100,1492259,1640356,1765303,2478567,2834035,3218960,3802186,4283246,5059803,5566681,11532759,12371006,13418237,14127764,15269872,16770325,18095612,18608274,18717945,17891185,18988193,GSDP
West Bengal,1583663,1705154,1759336,5342414,5705981,6128982,6556213,7097129,7548274,8067630,13537610,14057381,15086740,15657499,16627769,20865636,22178946,23907712,25763218,27024826,29195496,30883705,52048504,54219069,55849707,57436434,60954467,65341593,69498032,73908186,78442406,79272009,NA,GSDP
Andaman and Nicobar Islands,7393,6836,8879,46816,51679,50745,54463,58147,53450,58244,83777,83751,85689,94812,104831,163276,171994,202918,223780,257874,291088,316442,340362,355752,381115,415107,448321,509062,574969,610763,643023,NA,NA,NSDP
Andhra Pradesh,1358012,1434166,1395455,5165511,5456383,5795084,6195503,6032120,6803640,7090408,11636025,12603465,13174957,13474852,14794967,12138779,12814975,14160969,15926959,16334065,17440081,18604072,33999552,34133522,36023923,39706383,44699686,47756555,52662596,55886169,59565816,59386888,66143201,NSDP
Arunachal Pradesh,23111,26424,27107,81213,79578,91460,85982,88410,91037,94772,149696,160666,186399,177479,196806,318793,328064,345798,387298,419144,453927,473538,1022946,1039877,1122644,1308160,1288906,1339643,1392263,1489710,1709094,1658848,NA,NSDP
Assam,342555,357661,361309,1347683,1379647,1412510,1446677,1470357,1457444,1507824,3201066,3282084,3366789,3570820,3790537,4718074,4860162,5079654,5296799,5612296,6129390,6430998,12935412,13251760,13872476,14642539,16762867,17963190,19526228,20462706,21231535,19964620,NA,NSDP
Bihar,1025327,967308,910002,2078007,2316337,1958199,2456885,2340373,2487899,2613663,4607078,5365629,5057852,5697533,5330050,7016688,6841913,8025990,8441505,9728413,10193758,11750314,22849744,23693255,24691474,25573881,26919960,28926487,31260514,34554545,35919556,34418298,38227449,NSDP
Chandigarh,NA,NA,NA,137139,150510,166453,189640,201214,218823,233699,379157,427380,464880,523516,580395,761015,844208,968976,1040464,1118737,1176743,1176469,1692998,1830519,1981345,2035309,2205816,2384240,2528946,2665415,2781732,2442219,NA,NSDP
Chhattisgarh,NA,NA,NA,1216308,1218126,1249552,1304141,1355107,1388245,1371943,2383965,2237197,2550265,2507227,2978197,4138676,4206341,5006477,5411215,5766174,5926328,6497697,14227342,14876030,16349433,16535421,16887888,18754052,19407322,20921074,22062397,21512630,NA,NSDP
Delhi,504641,581366,601694,1896735,2125014,2162054,2459622,2858247,3001627,3145101,5117464,5317698,5522161,5945370,6269379,9471686,10447341,11744414,13068304,14696123,15904354,17223524,31465002,33419330,35652751,38763874,43172959,46159238,48763115,50633247,52199411,49628427,54805786,NSDP
Goa,56825,56623,64927,200186,207972,222503,260231,262787,328458,333373,557043,528685,549169,582633,622542,1099869,1191644,1308515,1365494,1472765,1611867,1929251,3800855,3245285,2797110,3604168,4192944,4637068,4707685,4742453,4850884,4642096,NA,NSDP
Gujarat,1083915,994403,1314371,4256047,5110362,5262943,6065257,6064710,6492062,6516300,9254100,8643100,9345500,10160300,11852500,17226500,19727000,21395400,23925300,24948000,28473200,31589195,53280946,59665883,64148881,70562884,77477522,84393034,94651119,103439901,111017860,109925860,NA,NSDP
Haryana,NA,NA,NA,1942155,2083520,2125391,2375872,2396519,2524325,2706358,4732937,5109018,5503631,5841015,6415632,8622228,9401146,10470049,11289592,12158839,13677999,14605347,27115248,28975622,31493120,33335925,37270025,41205461,43440717,47032764,50777600,48047051,52773312,NSDP
Himachal Pradesh,115080,115718,121012,425003,466385,492052,519886,557101,596628,662185,1246700,1326223,1393830,1461670,1559621,2118941,2300896,2481932,2636212,2764931,2914850,3158958,6053625,6451852,6939816,7455298,8056292,8811212,9352498,9921783,10261302,9813211,10600379,NSDP
Jammu and Kashmir,135989,139048,145227,550020,574499,603148,632065,665224,700533,727015,1353297,1391748,1418490,1490716,1567317,2329221,2437108,2579432,2738731,2910236,3051188,3225589,6531913,6731556,7053583,6715376,8060231,8263573,8759068,9307182,NA,NA,NA,NSDP
Jharkhand,NA,NA,NA,1340310,1396407,1430918,1345973,1761551,1916705,1822837,3022893,2666327,2850001,2929756,3151492,5305570,5067819,5152744,6300496,6047152,6646519,7613444,13738347,14952629,15060933,17056800,15823112,17636312,19157307,20870146,20991267,19646721,21368099,NSDP
Karnataka,911210,1026985,1050758,3698229,3891705,4097390,4473655,4751682,5396093,5654327,9053192,9113592,9278843,9776504,9966856,14872898,16403065,18108596,20380990,21830924,21836349,24081677,55495220,59319203,64678695,67128350,74995161,85139399,91564189,97481530,103035654,102687457,112748045,NSDP
Kerala,526234,536466,575161,2385107,2590792,2694747,2802645,2863315,3060430,3278501,6135933,6290863,6605203,7088517,7547905,10477605,11549986,12462466,13574746,14409392,15712270,16717844,32802112,34861581,36470677,38213426,41115015,44361530,47318179,51078693,52145465,47227225,50610734,NSDP
Madhya Pradesh,1110721,1030593,1106175,3393727,3452901,3660091,3905727,4110147,4381487,4841534,7265536,6675017,7152534,6779491,7539985,9994001,10497547,11454484,11995788,13512421,14793299,15570129,28237104,30685334,32259760,33924690,37071567,41946525,44195643,48236102,50814577,49023764,53918046,NSDP
Maharashtra,2722382,2713938,3124336,10176746,10374316,11518757,11973240,12633892,13136846,14386278,21719793,21052631,21796331,23299401,25098860,37002280,42363219,48198324,53808096,54653290,59933837,66762536,112659470,118971084,126755127,134534146,145251339,159612075,166106501,172857795,178290289,165309396,NA,NSDP
Manipur,31622,34285,35939,114144,111030,114737,125788,137364,139636,158117,295411,276525,293745,292104,324038,460330,490705,499219,526666,565217,603949,586166,1150107,1151507,1251946,1361517,1463516,1520095,1687036,1619296,1775588,1823013,NA,NSDP
Meghalaya,30399,31889,30007,130890,135258,150769,156148,166215,184186,199893,321130,342173,365131,375938,399301,584570,630275,677770,699092,788934,839640,922612,1802803,1832289,1839655,1789285,1833024,1929486,1996368,2096795,2199730,2061989,2252735,NSDP
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140951,146256,155499,170451,176015,239960,257728,269272,298845,343703,383198,453887,640414,683644,783145,996002,1094790,1202937,1377941,1411598,1305013,1178058,NA,NSDP
Nagaland,23810,24779,28325,125080,134790,144469,154704,168406,160480,161402,260980,305186,340229,374130,391233,542146,598609,645367,697836,742169,784196,858719,1055427,1116302,1192318,1240641,1259970,1348789,1417779,1505470,1585325,1520045,NA,NSDP
Odisha,434470,489701,481371,1618488,1697360,1774931,1652439,1890156,1948179,2071666,3839889,3738597,3966184,3937689,4512717,6798702,7100497,7984484,8669191,9320665,9395723,9987972,20422595,21630107,23312187,23593074,25319167,29334825,31619189,33833941,34610638,32625281,36511570,NSDP
Puducherry,25385,23797,20831,82923,83452,87021,121164,158983,179451,183744,289252,330511,352936,387912,405330,503306,637508,661439,713732,779211,919669,981185,1515956,1550737,1723851,1605468,1702466,1828379,2002416,2346778,2367207,2281560,2366638,NSDP
Punjab,750493,784487,821516,2706756,2774565,2877062,3088950,3172621,3355210,3532680,6113923,6317224,6399451,6508515,6914937,8610813,9032981,10007179,10873818,11476627,12209725,12998333,23922695,25181259,26751521,27848460,29489486,31578299,33505679,35394247,36755813,35235716,37678082,NSDP
Rajasthan,847260,782337,899649,2897690,3426892,3553035,3968179,4450851,4645716,4657378,7417385,7176407,7993604,7033318,9271219,11263572,12020228,13434991,14047148,15228354,16115948,18536565,39533093,40980249,43429222,46540773,50192151,52965038,55761821,56810188,59854963,58364495,64814163,NSDP
Sikkim,13532,14429,NA,36381,36750,40230,42897,46072,49374,50752,76537,81424,88059,94711,102235,151066,166214,176003,186210,210594,365860,402769,974218,997033,1058986,1143670,1248421,1341584,1520436,1588906,1658771,1614717,1744245,NSDP
Tamil Nadu,1242299,1275540,1341346,5164329,5794317,5986121,6231570,6782227,7050517,7468504,11970394,12634927,12390102,12452136,13228127,19364503,22158791,25628576,27233984,28674358,31675986,35996050,67447835,70934313,75041616,79191510,86243698,92208431,100030816,107160190,109940176,109447112,118192277,NSDP
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7991568,9275145,10297708,11345624,12891756,12926730,15212280,32513934,33420472,34959266,37289674,41689237,45573109,49814546,54444059,57273640,53775329,59961401,NSDP
Tripura,44686,45900,47621,161927,160065,173269,192342,213155,233275,253208,449557,477849,543314,579604,613570,816969,870818,945804,1008220,1114629,1228729,1321489,1741905,1885721,2062306,2440660,2374531,2720360,2950518,3270315,3369498,3261526,3539460,NSDP
Uttar Pradesh,2277965,2287287,2311916,7093470,7463495,7704631,8559709,8468648,8531020,9120106,15680934,16001454,16292586,16819814,17705365,23102904,24451374,26393540,28085051,30219193,32098884,34662085,64513155,67355219,70746910,72968630,79204876,88845301,92245751,94918445,98010632,91001074,94883857,NSDP
Uttarakhand,NA,NA,NA,510932,556390,550933,585640,592689,599877,600069,1118719,1258168,1317940,1441283,1555290,2228773,2544771,2851414,3349846,3706422,4340702,4796672,10195963,10952849,11777751,12570166,13614351,15030294,16220479,16651881,16635108,15679158,16748657,NSDP
West Bengal,1445781,1559022,1605352,4839763,5176126,5563083,5949599,6448361,6859838,7352781,12529882,12969099,13905744,14393066,15238834,19002888,20199425,21784888,23479772,24426192,26322987,27919095,47320465,49290117,50395157,51570160,54698805,58491083,62378682,65928789,69755447,70664833,NA,NSDP
Andaman and Nicobar Islands,3248,3224,3529,12916,12955,12645,12723,12525,12450,12044,15723,17245,18727,20944,19904,20583,14762,17454,19522,20982,20843,22275,22673,23144,25657,26841,26766,21714,26480,20455,18622,NA,NA,VALUE ADDED AGRI
Andhra Pradesh,441689,451482,444405,1685975,1647965,1754606,1868969,1507276,1926900,1844877,3142534,3591174,3504346,3101304,3671502,3040086,2930256,3005220,3616888,3536393,3818759,3634745,4769366,4793197,5560702,5570842,5297026,5850875,6810935,6291727,7194656,7044933,7621550,VALUE ADDED AGRI
Arunachal Pradesh,8110,9952,9653,28057,25558,26020,26294,27570,26824,29830,42459,48162,46964,47055,50216,54521,50921,61179,77699,66351,64720,81498,248503,273221,287222,294674,258899,182046,185502,185995,184321,195018,NA,VALUE ADDED AGRI
Assam,130542,134350,135609,502168,509476,515814,512065,547705,519522,518891,1099809,1081827,1074631,1081493,1097985,1068008,1079329,1095104,1136129,1170680,1244862,1283447,1888760,2298656,2171636,2107447,2275122,2390436,2416994,2461170,2319352,2311155,NA,VALUE ADDED AGRI
Bihar,396613,329885,297062,994671,1170882,888068,1218402,957393,1142838,1031575,1432315,1988274,1522021,1953765,1570198,1862279,1571331,2104376,1878141,2329376,1908710,2304498,3905314,4367513,3290765,3073814,3063960,3385781,3653969,3383437,3133173,3401579,3806822,VALUE ADDED AGRI
Chandigarh,NA,NA,NA,3540,3464,3408,3330,3121,2990,3092,4877,4603,4679,4849,5158,6777,7015,6956,6945,7390,6309,6078,749,698,594,499,469,427,397,351,333,609,NA,VALUE ADDED AGRI
Chhattisgarh,NA,NA,NA,371819,385301,365181,372658,281681,314692,286665,558545,393524,604012,437328,668821,639982,761507,796216,891150,764903,833500,1061063,1646143,1759339,1802700,1852931,1778748,2244327,1775259,1996452,2036091,2106289,NA,VALUE ADDED AGRI
